No,物件番号,物件種目,専有面積,所在地,取引態様,価格,用途地域,㎡単価,建物名,所在階,間取,取引状況,管理費,坪単価,沿線駅,交通,商号,築年月,電話番号,差分種別,差分検出日
,100136855156,中古マンション,74.29㎡,東京都文京区本駒込５丁目,売主,"6,780万円",一住,91.3万円,駒込台ハイツＫ棟,2階,2ＳＬＤＫ,-,"24,887円",301.7万円,山手線　駒込,徒歩　5分,（株）ランドネット,1973年（昭和48年） 9月,03-3986-3927,削除,2025-12-07
,100136859914,中古マンション,91.30㎡,東京都新宿区西新宿５丁目,専属,"34,980万円",商業,383.2万円,パークタワー西新宿,40階,3ＬＤＫ,公開中,"41,090円","1,266.6万円",大江戸線　西新宿五丁目,徒歩　6分,スターツピタットハウス（株）　都心販売センター,2024年（令和 6年）11月,03-6202-0200,削除,2025-12-07
,100136859924,中古マンション,80.88㎡,東京都港区浜松町２丁目,専属,"59,800万円",商業,739.4万円,ＷＯＲＬＤ　ＴＯＷＥＲ　ＲＥＳＩＤＥＮＣＥ,40階,2ＬＤＫ,公開中,"59,350円","2,444.2万円",山手線　浜松町,徒歩　2分,スターツピタットハウス（株）　都心販売センター,2024年（令和 6年）11月,03-6202-0200,削除,2025-12-07
,100136861516,中古マンション,121.52㎡,東京都千代田区麹町４丁目,売主,"46,900万円",商業,386.0万円,パークハウス麹町プレイス,11階,3ＬＤＫ,-,"42,441円","1,275.9万円",有楽町線　麹町,徒歩　3分,大和ハウスリアルエステート（株）　東京本店,2011年（平成23年） 4月,080-4775-6612,削除,2025-12-07
,100136868611,中古マンション,21.68㎡,東京都新宿区西新宿３丁目,"専属
オーナーチェンジ","1,590万円",商業,73.4万円,トーカン新宿第２キャステール,10階,ワンルーム,申込あり,"6,140円",242.5万円,大江戸線　都庁前,徒歩　6分,東急リバブル（株）　新宿センター,1980年（昭和55年） 1月,03-6876-0109,削除,2025-12-07
,100136889270,中古マンション,23.49㎡,東京都文京区水道１丁目,"売主
オーナーチェンジ","1,700万円",二住,72.4万円,マック小石川コート,4階,ワンルーム,-,"7,210円",239.3万円,丸ノ内線　後楽園,徒歩　11分,京王ユナイテッド（株）,1981年（昭和56年） 3月,080-4618-8720,削除,2025-12-07
,100136889591,中古マンション,77.32㎡,東京都港区麻布狸穴町,一般,"35,800万円",商業,463.1万円,ブランズ麻布狸穴町,3階,2ＳＬＤＫ,-,"27,800円","1,530.7万円",大江戸線　麻布十番,徒歩　6分,東急リバブル（株）　グランタクト六本木,2013年（平成25年）12月,03-6843-1090,削除,2025-12-07
,100136903105,中古マンション,22.74㎡,東京都新宿区北新宿２丁目,"売主
オーナーチェンジ","1,480万円",一住,65.1万円,プレール中野坂上,1階,1Ｋ,-,"10,680円",215.2万円,丸ノ内線　西新宿,徒歩　6分,（株）嘉徳アセットメント,1989年（平成 1年） 6月,03-6666-9910,削除,2025-12-07
,100136935902,中古マンション,45.98㎡,東京都新宿区西落合２丁目,売主,"2,980万円",準工,64.9万円,哲学堂マンション,4階,2ＬＤＫ,-,"10,400円",214.3万円,大江戸線　落合南長崎,徒歩　8分,アロハ不動産（株）,1964年（昭和39年） 4月,03-6278-9718,削除,2025-12-07
,100136952341,中古マンション,35.52㎡,東京都中央区日本橋本町４丁目,専属,"7,580万円",商業,213.5万円,レフィール日本橋本町,6階,1ＬＤＫ,公開中,確認中,705.5万円,日比谷線　小伝馬町,徒歩　2分,（株）レンズ,2005年（平成17年）10月,03-6914-5763,削除,2025-12-07
,100136952627,中古マンション,23.49㎡,東京都文京区水道１丁目,"売主
オーナーチェンジ","1,700万円",二住,72.4万円,マック小石川コート,4階,ワンルーム,-,"7,210円",239.3万円,丸ノ内線　後楽園,徒歩　11分,京王ユナイテッド（株）,1981年（昭和56年） 3月,080-4618-8720,削除,2025-12-07
,100136953407,中古マンション,46.06㎡,東京都港区元麻布２丁目,専属,"8,880万円",近商,192.8万円,有栖川ナショナルコート,6階,1ＬＤＫ,公開中,"14,300円",637.4万円,日比谷線　広尾,徒歩　9分,スターツピタットハウス（株）　自由が丘店,1974年（昭和49年） 1月,03-5731-6936,削除,2025-12-07
,100136966583,中古マンション,30.29㎡,東京都新宿区北新宿３丁目,専任,"2,490万円",近商,82.3万円,シャンボール北新宿,10階,ワンルーム,公開中,"6,900円",271.8万円,総武中央線　大久保,徒歩　4分,（株）リモラル,1978年（昭和53年） 4月,03-6205-5552,削除,2025-12-07
,100136966703,中古マンション,20.00㎡,東京都新宿区下落合４丁目,"一般
オーナーチェンジ","2,130万円",近商,106.5万円,スカイコート高田馬場第３,6階,ワンルーム,-,確認中,352.1万円,西武新宿線　下落合,徒歩　3分,（株）ｇｒｏｏｖｅ　ａｇｅｎｔ,2002年（平成14年） 5月,03-6902-1941,削除,2025-12-07
,100136973727,中古マンション,58.67㎡,東京都港区赤坂２丁目,売主,"16,980万円",商業,289.5万円,チュリス赤坂,8階,1ＬＤＫ,-,"22,170円",956.8万円,銀座線　溜池山王,徒歩　2分,ララハウス（株）　自由が丘支店,1983年（昭和58年）11月,03-6421-3500,削除,2025-12-07
,100136982672,中古マンション,41.49㎡,東京都文京区関口１丁目,"一般
オーナーチェンジ","5,000万円",商業,120.6万円,メゾン文京関口Ⅱ,7階,1Ｋ,-,"11,200円",398.4万円,有楽町線　江戸川橋,徒歩　2分,（株）レオコ－ポレ－シヨン,1990年（平成 2年） 6月,03-3813-6262,削除,2025-12-07
,100136991667,中古マンション,47.74㎡,東京都新宿区西新宿７丁目,売主,"13,800万円",商業,289.1万円,ファーストリアルタワー新宿,25階,1ＬＤＫ,-,"19,320円",955.6万円,大江戸線　新宿西口,徒歩　4分,ポスト・ライフ（株）,2006年（平成18年） 3月,03-5348-8288,削除,2025-12-07
,100136991737,中古マンション,40.60㎡,東京都新宿区西落合２丁目,売主,"3,180万円",準工,78.4万円,ハイネス哲学堂,2階,1ＬＤＫ,-,"9,700円",259.0万円,大江戸線　落合南長崎,徒歩　8分,ポスト・ライフ（株）,1981年（昭和56年）11月,03-5348-8288,削除,2025-12-07
,100137001627,中古マンション,80.56㎡,東京都港区六本木３丁目,一般,"38,000万円",商業,471.7万円,ＴＨＥ　ＲＯＰＰＯＮＧＩ　ＴＯＫＹＯ　ＣＬＵＢ　ＲＥＳＩＤＥＮＣＥ,18階,2ＬＤＫ,-,"33,300円","1,559.4万円",日比谷線　六本木,徒歩　3分,（株）ルネッサンス,2011年（平成23年）11月,03-5545-5635,削除,2025-12-07
,100137006801,中古マンション,50.16㎡,東京都港区芝浦４丁目,"一般
オーナーチェンジ","5,680万円",一住,113.3万円,グランドパレス田町,13階,ワンルーム,-,"12,600円",374.4万円,山手線　田町,徒歩　9分,オハナ不動産（株）,1981年（昭和56年） 4月,03-6205-5205,削除,2025-12-07
,100137016793,中古マンション,40.00㎡,東京都渋谷区代々木４丁目,売主,"5,080万円",二中,127.0万円,代々木スカイハイツ,3階,1ＬＤＫ,-,"8,800円",419.9万円,小田急線　参宮橋,徒歩　3分,（株）アーバンコンセプト,1974年（昭和49年）10月,09047354812,削除,2025-12-07
,100137017853,中古マンション,53.21㎡,東京都新宿区中落合３丁目,"売主
オーナーチェンジ","4,400万円",一中,82.7万円,キャッスルマンション目白西,3階,3ＤＫ,-,"14,390円",273.4万円,西武池袋線　椎名町,徒歩　8分,（株）ゼウス・リアル,1994年（平成 6年）12月,03-5720-5555,削除,2025-12-07
,100137018077,中古マンション,20.88㎡,東京都新宿区早稲田鶴巻町,"専任
オーナーチェンジ","2,750万円",商業,131.8万円,パレステュディオ早稲田　Ｐａｒｋ　Ｖｉｅｗ,10階,1Ｋ,公開中,"12,680円",435.4万円,有楽町線　江戸川橋,徒歩　6分,（株）シーク,2007年（平成19年） 2月,03-3560-7070,削除,2025-12-07
,100137022639,中古マンション,54.42㎡,東京都渋谷区千駄ヶ谷４丁目,売主,"9,280万円",商業,170.6万円,北参道ダイヤモンドパレス,6階,2ＬＤＫ,-,"12,500円",563.8万円,副都心線　北参道,徒歩　4分,（株）エンリード不動産,1983年（昭和58年） 3月,080-7134-8146,削除,2025-12-07
,100137024933,中古マンション,100.98㎡,東京都中央区佃２丁目,一般,"33,000万円",二住,326.8万円,ザ・クレストタワー,30階,3ＬＤＫ,-,"25,300円","1,080.4万円",有楽町線　月島,徒歩　3分,（同）ディグル,2004年（平成16年） 9月,03-5544-8663,削除,2025-12-07
,100137025646,中古マンション,70.70㎡,東京都中央区晴海３丁目,一般,"19,980万円",準工,282.7万円,ＤＥＵＸ　ＴＯＵＲＳ　ＷＥＳＴ,38階,3ＬＤＫ,-,"22,018円",934.3万円,大江戸線　勝どき,徒歩　5分,合豊（株）,2015年（平成27年）10月,03-3520-9233,削除,2025-12-07
,100137027299,中古マンション,21.97㎡,東京都千代田区神田小川町３丁目,売主,"2,550万円",商業,116.1万円,インペリアル御茶の水,3階,ワンルーム,-,"9,900円",383.7万円,都営新宿線　小川町,徒歩　3分,（株）デュープレックスディメンション,1980年（昭和55年） 8月,09032418903,削除,2025-12-07
,100137032717,中古マンション,58.80㎡,東京都中央区勝どき１丁目,"一般
オーナーチェンジ","12,680万円",商業,215.7万円,勝どきビュータワー,48階,2ＬＤＫ,-,"16,260円",712.9万円,大江戸線　勝どき,徒歩　1分,（株）ＳＰＥＥＤ,2010年（平成22年）11月,0362654766,削除,2025-12-07
,100137033363,中古マンション,26.86㎡,東京都文京区目白台１丁目,売主,"2,480万円",一中,92.4万円,目白台コーポ,5階,1ＤＫ,-,"7,280円",305.3万円,都電荒川線　早稲田,徒歩　4分,トップランク不動産（株）,1970年（昭和45年） 5月,03-5749-3278,削除,2025-12-07
,100137033960,中古マンション,16.07㎡,東京都千代田区神田佐久間町１丁目,"売主
オーナーチェンジ","2,730万円",商業,169.9万円,アルテール秋葉原,8階,ワンルーム,-,"4,600円",561.6万円,山手線　秋葉原,徒歩　1分,番町開発（株）,1981年（昭和56年） 3月,03-5312-5535,削除,2025-12-07
,100137034191,中古マンション,48.64㎡,東京都新宿区高田馬場３丁目,売主,"4,380万円",準工,90.1万円,マンションヴィップ落合,5階,2ＬＤＫ,-,"14,720円",297.7万円,西武新宿線　下落合,徒歩　6分,（株）ブライトアベニュー,1970年（昭和45年） 7月,03-6427-4830,削除,2025-12-07
,100137035257,中古マンション,60.50㎡,東京都新宿区若松町,売主,"6,780万円",一中,112.1万円,近鉄ハイツ新宿,2階,3ＬＤＫ,-,"18,543円",370.5万円,大江戸線　若松河田,徒歩　7分,（株）エスフリー,1975年（昭和50年）10月,03-5962-3812,削除,2025-12-07
,100137039502,中古マンション,90.52㎡,東京都港区白金６丁目,一般,"19,800万円",一中,218.8万円,ザ・レジデンス白金スイート,10階,2ＬＤＫ,-,"197,660円",723.1万円,南北線　白金台,徒歩　11分,野村不動産ソリューションズ（株）　麻布営業部,2008年（平成20年） 1月,03-5444-2281,削除,2025-12-07
,200134931554,新築マンション,47.10㎡,東京都新宿区高田馬場４丁目,代理,"9,980万円",一住,211.9万円,パークシティ高田馬場,3階,1ＬＤＫ,-,"17,330円",700.5万円,山手線　高田馬場,徒歩　7分,（株）龍雪不動産,2025年（令和 7年） 6月,070-9218-7850,削除,2025-12-07
,300137025672,中古マンション,23.26㎡,東京都中央区築地１丁目,"売主
オーナーチェンジ","2,900万円",商業,124.7万円,ファミール東銀座グランスイートタワー,5階,1ＬＤＫ,-,"4,890円",412.2万円,有楽町線　新富町,徒歩　2分,（株）ＥＸｓｔａｔｅ,2004年（平成16年） 2月,080-3843-6946,削除,2025-12-07
,100133592705,中古マンション,58.25㎡,東京都中央区勝どき５丁目,"一般
オーナーチェンジ","14,500万円",一住,249.0万円,ＫＡＣＨＩＤＯＫＩ　ＴＨＥ　ＴＯＷＥＲ　勝どき　ザ・タワー,,1ＳＬＤＫ,-,"13,920円",822.9万円,大江戸線　勝どき,徒歩　7分,ロイヤルハウジング販売（株）　勝どきザ・タワー店,2016年（平成28年）11月,0362211101,新規,2025-12-07
,100135047780,中古マンション,24.71㎡,東京都渋谷区道玄坂１丁目,専任,"6,280万円",商業,254.2万円,ＳＨＩＢＵＹＡ　ＨＩＬＬ　ＴＯＰ,,ワンルーム,公開中,"9,300円",840.2万円,井の頭線　神泉,徒歩　4分,日信興業（株）,2016年（平成28年）月不詳,03-3261-6261,新規,2025-12-07
,100137048531,中古マンション,42.77㎡,東京都中央区勝どき２丁目,一般,"7,750万円",二住,181.3万円,ロメック勝どき,2階,1ＬＤＫ,-,"8,600円",599.1万円,大江戸線　勝どき,徒歩　2分,（株）アセットアイデア,2009年（平成21年） 4月,03-6459-2034,新規,2025-12-07
,100137048756,中古マンション,21.97㎡,東京都千代田区神田小川町３丁目,売主,"2,550万円",商業,116.1万円,インペリアル御茶の水,3階,ワンルーム,-,"9,900円",383.7万円,都営新宿線　小川町,徒歩　3分,（株）デュープレックスディメンション,1980年（昭和55年） 8月,09032418903,新規,2025-12-07
,100137049004,中古マンション,77.08㎡,東京都中央区新川２丁目,専任,"16,800万円",商業,218.0万円,ピアース東京インプレイス,11階,2ＳＬＤＫ,申込あり,"17,650円",720.6万円,京葉線　八丁堀,徒歩　3分,住友不動産ステップ（株）　小石川マンションプラザ,2004年（平成16年） 2月,050-3112-9809,新規,2025-12-07
,100137049023,中古マンション,74.39㎡,東京都中央区湊２丁目,専属,"15,900万円",商業,213.8万円,アスコットパーク東京八丁堀,4階,3ＬＤＫ,公開中,"15,930円",706.6万円,日比谷線　八丁堀,徒歩　7分,住友不動産ステップ（株）　東京湾岸マンションプラザ,2011年（平成23年） 8月,050-3112-9844,新規,2025-12-07
,100137049024,中古マンション,82.84㎡,東京都中央区晴海５丁目,専任,"16,000万円",商業,193.2万円,ＨＡＲＵＭＩ　ＦＬＡＧ　ＳＵＮ　ＶＩＬＬＡＧＥ,13階,3ＬＤＫ,公開中,"26,260円",638.5万円,大江戸線　勝どき,徒歩　16分,住友不動産ステップ（株）　東京湾岸マンションプラザ,2023年（令和 5年）11月,050-3112-9844,新規,2025-12-07
